study_date,content_type,title,category,platform,minutes,progress,status,rating
2026-01-02,Livro,Dashboard Design,BI,Livro Físico,109,25,Em andamento,
2026-01-03,Curso,IA Generativa,Machine Learning/AI,Coursera,119,17,Em andamento,
2026-01-03,Podcast/Vídeo,PythonCast,Python,Youtube,108,71,Em andamento,
2026-01-04,Curso,IA Generativa,Machine Learning/AI,Coursera,86,38,Concluído,3.0
2026-01-05,Curso,IA Generativa,Machine Learning/AI,Coursera,86,71,Em andamento,
2026-01-05,Podcast/Vídeo,SQL Tips,SQL,Youtube,47,75,Em andamento,
2026-01-05,Podcast/Vídeo,BI Talks,BI,Spotify,113,26,Em andamento,
2026-01-05,Curso,SQL do Zero,SQL,Coursera,24,28,Em andamento,
2026-01-06,Podcast/Vídeo,Liderança na Prática,Soft Skills,Youtube,52,48,Em andamento,
2026-01-07,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Digital,89,59,Concluído,5.0
2026-01-07,Podcast/Vídeo,PythonCast,Python,Spotify,70,75,Concluído,3.0
2026-01-07,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,32,97,Em andamento,
2026-01-08,Livro,Automatizando com Python,Python,Livro Digital,32,5,Em andamento,
2026-01-11,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,30,61,Em andamento,
2026-01-11,Curso,Python para Dados,Python,Udemy,32,48,Em andamento,
2026-01-12,Curso,IA Generativa,Machine Learning/AI,Youtube,44,28,Em andamento,
2026-01-12,Curso,SQL do Zero,SQL,Udemy,17,35,Em andamento,
2026-01-14,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,81,84,Concluído,5.0
2026-01-16,Curso,Comunicação,Soft Skills,Youtube,118,84,Em andamento,
2026-01-16,Podcast/Vídeo,BI Talks,BI,Youtube,69,65,Em andamento,
2026-01-16,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,72,27,Em andamento,
2026-01-17,Podcast/Vídeo,AI News,Machine Learning/AI,Youtube,98,90,Concluído,4.0
2026-01-18,Curso,Power BI Completo,BI,Coursera,31,57,Em andamento,
2026-01-19,Curso,SQL Avançado,SQL,Udemy,69,73,Em andamento,
2026-01-19,Curso,ML Foundations,Machine Learning/AI,Coursera,69,97,Em andamento,
2026-01-22,Curso,Power BI Completo,BI,Coursera,66,58,Em andamento,
2026-01-22,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,91,61,Em andamento,
2026-01-23,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,117,74,Em andamento,
2026-01-24,Livro,Comunicação Não Violenta,Soft Skills,Livro Físico,108,19,Em andamento,
2026-01-27,Curso,Comunicação,Soft Skills,Youtube,20,62,Em andamento,
2026-01-29,Curso,Comunicação,Soft Skills,Coursera,32,62,Concluído,3.0
2026-01-30,Livro,Hands-On ML,Machine Learning/AI,Livro Digital,45,19,Em andamento,
2026-01-30,Curso,SQL do Zero,SQL,Coursera,99,50,Em andamento,
2026-01-31,Livro,Dashboard Design,BI,Livro Digital,56,78,Em andamento,
2026-01-31,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,52,71,Em andamento,
2026-02-01,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Coursera,59,23,Em andamento,
2026-02-01,Curso,Comunicação,Soft Skills,Youtube,112,18,Em andamento,
2026-02-02,Livro,Hands-On ML,Machine Learning/AI,Livro Digital,58,68,Em andamento,
2026-02-02,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,40,34,Em andamento,
2026-02-02,Curso,SQL Avançado,SQL,Youtube,117,8,Em andamento,
2026-02-02,Curso,Python para Dados,Python,Coursera,27,65,Em andamento,
2026-02-05,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,56,94,Em andamento,
2026-02-05,Curso,SQL Avançado,SQL,Udemy,51,10,Em andamento,
2026-02-06,Curso,Power BI Completo,BI,Youtube,42,85,Em andamento,
2026-02-07,Livro,Automatizando com Python,Python,Livro Digital,67,14,Em andamento,
2026-02-07,Livro,Automatizando com Python,Python,Livro Digital,85,57,Em andamento,
2026-02-08,Livro,Automatizando com Python,Python,Livro Digital,66,50,Em andamento,
2026-02-08,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Youtube,41,97,Concluído,5.0
2026-02-08,Podcast/Vídeo,SQL Tips,SQL,Youtube,21,92,Concluído,3.0
2026-02-08,Livro,Comunicação Não Violenta,Soft Skills,Livro Físico,102,66,Em andamento,
2026-02-11,Curso,IA Generativa,Machine Learning/AI,Youtube,107,68,Em andamento,
2026-02-11,Curso,Python para Dados,Python,Youtube,77,72,Em andamento,
2026-02-12,Podcast/Vídeo,BI Talks,BI,Youtube,22,91,Concluído,3.0
2026-02-14,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,30,62,Concluído,3.0
2026-02-15,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Digital,76,26,Em andamento,
2026-02-15,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,89,46,Concluído,
2026-02-16,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Youtube,58,19,Em andamento,
