id_event,id_user,id_content,content_category,access_date,minutes_watched
101,1,2001,Movie,2026-06-01 14:20:00,120
102,1,2002,Series,2026-06-01 16:30:00,45
103,2,2002,Series,2026-06-01 20:00:00,15
104,3,2003,Documentary,2026-06-02 09:15:00,90
105,4,2001,Movie,2026-06-02 13:00:00,85
106,1,2004,Movie,2026-06-03 21:10:00,110
107,6,2002,Series,2026-06-03 18:00:00,50
108,6,2002,Series,2026-06-04 19:00:00,55
109,7,2001,Movie,2026-06-04 22:30:00,30
110,8,2005,Documentary,2026-06-05 10:00:00,105
111,1,2002,Series,2026-06-05 23:00:00,40
112,4,2003,Documentary,2026-06-06 14:00:00,15
113,10,2001,Movie,2026-06-06 16:45:00,95
114,11,2002,Series,2026-06-07 08:00:00,42
115,11,2002,Series,2026-06-07 09:00:00,50
116,12,2001,Movie,2026-06-07 20:15:00,140
117,14,2004,Movie,2026-06-08 11:30:00,95
118,15,2005,Documentary,2026-06-08 15:20:00,60
119,1,2002,Series,2026-06-09 19:00:00,45
120,3,2001,Movie,2026-06-09 21:00:00,115
121,4,2002,Series,2026-06-10 13:10:00,22
122,6,2005,Documentary,2026-06-10 17:40:00,80
123,7,2003,Documentary,2026-06-10 22:00:00,45
124,8,2001,Movie,2026-06-11 14:30:00,130
125,11,2004,Movie,2026-06-11 18:00:00,100
126,12,2002,Series,2026-06-11 20:15:00,55
127,13,2001,Movie,2026-06-12 09:00:00,88
128,14,2003,Documentary,2026-06-12 16:00:00,75
129,16,2002,Series,2026-06-12 21:30:00,30
130,17,2001,Movie,2026-06-13 10:00:00,125
131,17,2004,Movie,2026-06-13 14:00:00,90
132,18,2005,Documentary,2026-06-13 19:15:00,110
133,19,2002,Series,2026-06-14 08:30:00,50
134,1,2003,Documentary,2026-06-14 15:00:00,85
135,4,2001,Movie,2026-06-14 20:00:00,105
136,6,2001,Movie,2026-06-15 13:00:00,110
137,8,2002,Series,2026-06-15 18:30:00,45
138,10,2005,Documentary,2026-06-15 21:00:00,65
139,11,2003,Documentary,2026-06-16 10:45:00,70
140,12,2004,Movie,2026-06-16 16:00:00,115
141,14,2001,Movie,2026-06-16 22:15:00,135
142,15,2002,Series,2026-06-17 11:00:00,25
143,17,2002,Series,2026-06-17 15:30:00,48
144,18,2001,Movie,2026-06-17 19:00:00,100
145,19,2005,Documentary,2026-06-17 21:45:00,95
146,1,2002,Series,2026-06-18 14:00:00,40
147,2,2001,Movie,2026-06-18 18:20:00,105
148,3,2005,Documentary,2026-06-18 22:00:00,80
149,4,2004,Movie,2026-06-19 11:15:00,92
150,6,2003,Documentary,2026-06-19 16:30:00,55
151,7,2002,Series,2026-06-19 20:45:00,50
152,8,2004,Movie,2026-06-20 09:30:00,118
153,11,2001,Movie,2026-06-20 15:00:00,120
154,12,2003,Documentary,2026-06-20 21:10:00,85
155,13,2002,Series,2026-06-21 13:00:00,35
156,14,2002,Series,2026-06-21 17:45:00,52
157,15,2001,Movie,2026-06-21 22:00:00,100
158,16,2001,Movie,2026-06-22 10:30:00,95
159,17,2003,Documentary,2026-06-22 14:20:00,65
160,18,2002,Series,2026-06-22 19:00:00,40
161,19,2001,Movie,2026-06-22 23:15:00,140
162,1,2005,Documentary,2026-06-23 11:00:00,75
163,3,2002,Series,2026-06-23 16:00:00,45
164,4,2005,Documentary,2026-06-23 20:30:00,90
165,6,2002,Series,2026-06-24 09:15:00,50
166,7,2001,Movie,2026-06-24 14:40:00,110
167,8,2003,Documentary,2026-06-24 21:00:00,100
168,10,2002,Series,2026-06-25 10:00:00,48
169,11,2005,Documentary,2026-06-25 15:30:00,85
170,12,2001,Movie,2026-06-25 19:45:00,125
171,13,2005,Documentary,2026-06-26 08:20:00,95
172,14,2005,Documentary,2026-06-26 13:10:00,70
173,15,2003,Documentary,2026-06-26 18:00:00,80
174,16,2005,Documentary,2026-06-27 11:15:00,60
175,17,2005,Documentary,2026-06-27 15:45:00,100
176,18,2004,Movie,2026-06-27 21:00:00,105
177,19,2003,Documentary,2026-06-28 09:30:00,75
178,1,2001,Movie,2026-06-28 16:00:00,130
179,2,2005,Documentary,2026-06-28 20:45:00,85
180,4,2002,Series,2026-06-29 14:00:00,35
181,6,2004,Movie,2026-06-29 19:30:00,115
182,8,2002,Series,2026-06-30 10:00:00,50
183,11,2002,Series,2026-06-30 15:15:00,45
184,12,2005,Documentary,2026-06-30 22:00:00,90
