task_id,task_title,task_type,project,sprint_id,sprint_name,squad,team,assignee,reporter,priority,status,story_points,estimated_hours,labels,environment,created_at,started_at,completed_at,sprint_start_date,sprint_end_date,updated_at
TASK-00001,Improve Search Performance,Spike,Backoffice,SPR-2025-21,Sprint 21,Platform,Product,Alex Smith,Avery Lewis,Low,Done,1 pts,4,"frontend, etl, mobile",UAT,2025-10-09,2025-10-09,2025-10-12,2025-10-08,2025-10-21,2025-10-17 00:00:00
TASK-00002,Broken Navigation Menu,Task,Backoffice,SPR-2025-05,Sprint 5,Data,Product,John Doe,Jamie White,High,In Progress,13,2,"backend, etl",UAT,2025-03-01,2025-03-03,,2025-02-26,2025-03-11,2025-03-03 00:00:00
TASK-00003,Broken Navigation Menu,Technical Debt,Customer Portal,SPR-2025-08,Sprint 8,Marketplace,Analytics,John Doe,Jamie White,High,Testing,3,24,"Api, etl, mobile",DEV,2025-04-10,2025-04-13,,2025-04-09,2025-04-22,2025-04-20 00:00:00
TASK-00004,Refactor Notification Service,Task,Customer Portal,SPR-2025-13,Sprint 13,Data,Architecture,Casey Johnson,Morgan Davis,Critical,In Progress,13,8,"etl, performance, data",DEV,2025-06-22,2025-06-22,,2025-06-18,2025-07-01,2025-06-25 00:00:00
TASK-00005,Improve Mobile Responsiveness,Task,Mobile App,SPR-2025-05,Sprint 5,Platform,Operations,Alex Smith,Avery Lewis,Critical,Done,8,2,etl,DEV,2025-03-08,2025-03-09,2025-03-11,2025-02-26,2025-03-11,2025-03-16 00:00:00
TASK-00006,Create Monitoring Alerts,Bug,Mobile App,SPR-2025-17,Sprint 17,Platform,Analytics,Taylor Brown,Morgan Davis,Medium,Done,2,40,performance,QA,2025-08-15,2025-08-15,2025-08-26,2025-08-13,2025-08-26,2025-08-17 00:00:00
TASK-00007,update documentation,Story,Identity Service,SPR-2025-03,Sprint 3,Platform,Operations,Chris Lee,Avery Lewis,Critical,Blocked,2,40,etl,PROD,2025-02-05,2025-02-05,,2025-01-29,2025-02-11,2025-02-08 00:00:00
TASK-00008,Fix ETL Pipeline Failure,Story,Backoffice,SPR-2025-08,Sprint 8,Data,Architecture,Casey Johnson,Jamie White,low,Testing,13 pts,2,"backend, etl",PROD,2025-04-12,2025-04-12,,2025-04-09,2025-04-22,2025-04-25 00:00:00
TASK-00009,Data Sync Failure,Technical Debt,Marketplace,SPR-2025-07,Sprint 7,Data,Operations,Alex Smith,Robin Clark,Low,Done,13 pts,12,Mobile,PROD,2025-03-27,2025-03-27,2025-04-03,2025-03-26,2025-04-08,2025-04-03 00:00:00
TASK-00010,Login Error,Spike,Data Platform,SPR-2025-03,Sprint 3,Core,Analytics,Jordan Miller,Drew Walker,Medium,To Do,5,40,api,PROD,2025-02-05,2025-02-05,,2025-01-29,2025-02-11,2025-02-09 00:00:00
